"//Linie","Richtung","Endstation","Wochentage","Stunde","Minute",,,,,,,
"//-",,"(0 = standard, 1,2,3,... alternative)","63=wochentags, 64 = samstags , 128 = Sonntags","-","-",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"//U3 Richtung Hohemark",,,,,,,,,,,,
,,,,,,,,,,,,
"// Wochentags",,,,,,,,,,,,
"U3","nord","Hohemark","0b00011111",4,39,,,,,,,
"U3","nord","Hohemark","0b00011111",5,7,37,52,,,,,
"U3","nord","Hohemark","0b00011111",6,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",7,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",8,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",9,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",10,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",11,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",12,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",13,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",14,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",15,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",16,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",17,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",18,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",19,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",20,7,22,37,52,,,,
"U3","nord","Hohemark","0b00011111",21,7,40,,,,,,
"U3","nord","Oberursel Bhf","0b00011111",21,25,,,,,,,
"U3","nord","Hohemark","0b00011111",22,10,40,,,,,,
"U3","nord","Hohemark","0b00011111",23,10,40,,,,,,
"U3","nord","Hohemark","0b00111110",0,10,40,,,,,,
"U3","nord","Oberursel Bhf","0b00111110",1,10,,,,,,,
,,,,,,,,,,,,
"//Samstags",,,,,,,,,,,,
"U3","nord","Hohemark","0b00100000",5,10,37,,,,,,
"U3","nord","Hohemark","0b00100000",6,7,37,,,,,,
"U3","nord","Hohemark","0b00100000",7,7,37,,,,,,
"U3","nord","Hohemark","0b00100000",8,7,37,52,,,,,
"U3","nord","Hohemark","0b00100000",9,7,22,37,52,,,,
"U3","nord","Hohemark","0b00100000",10,7,22,37,52,,,,
"U3","nord","Hohemark","0b00100000",11,7,22,37,52,,,,
"U3","nord","Hohemark","0b00100000",12,7,22,37,52,,,,
"U3","nord","Hohemark","0b00100000",13,7,22,37,52,,,,
"U3","nord","Hohemark","0b00100000",14,7,22,37,52,,,,
"U3","nord","Hohemark","0b00100000",15,7,22,37,52,,,,
"U3","nord","Hohemark","0b00100000",16,7,22,37,52,,,,
"U3","nord","Hohemark","0b00100000",17,7,22,37,52,,,,
"U3","nord","Oberursel Bhf","0b00100000",18,22,52,,,,,,
"U3","nord","Hohemark","0b00100000",18,7,37,,,,,,
"U3","nord","Hohemark","0b00100000",19,7,37,,,,,,
"U3","nord","Hohemark","0b00100000",20,10,40,,,,,,
"U3","nord","Hohemark","0b00100000",21,10,40,,,,,,
"U3","nord","Hohemark","0b00100000",22,10,40,,,,,,
"U3","nord","Hohemark","0b00100000",23,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",0,10,40,,,,,,
"U3","nord","Oberursel Bhf","0b01000000",1,10,,,,,,,
,,,,,,,,,,,,
"//Sonntags",,,,,,,,,,,,
"U3","nord","Hohemark","0b01000000",5,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",6,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",7,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",8,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",9,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",10,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",11,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",12,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",13,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",14,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",15,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",16,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",17,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",18,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",19,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",20,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",21,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",22,10,40,,,,,,
"U3","nord","Hohemark","0b01000000",23,10,40,,,,,,
"U3","nord","Hohemark","0b00000001",0,10,40,,,,,,
"U3","nord","Oberursel Bhf","0b00000001",1,10,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"// Wochentags",,,,,,,,,,,,
"U8","nord","Riedberg","0b00011111",2,,,,,,,,
"U8","nord","Riedberg","0b00011111",3,,,,,,,,
"U8","nord","Riedberg","0b00011111",4,4,34,52,,,,,
"U8","nord","Riedberg","0b00011111",5,22,44,59,,,,,
"U8","nord","Riedberg","0b00011111",6,14,29,44,59,,,,
"U8","nord","Riedberg","0b00011111",7,14,29,44,59,,,,
"U8","nord","Riedberg","0b00011111",8,14,29,44,59,,,,
"U8","nord","Riedberg","0b00011111",9,14,29,42,57,,,,
"U8","nord","Riedberg","0b00011111",10,12,27,42,57,,,,
"U8","nord","Riedberg","0b00011111",11,12,27,42,57,,,,
"U8","nord","Riedberg","0b00011111",12,12,27,42,57,,,,
"U8","nord","Riedberg","0b00011111",13,12,27,42,57,,,,
"U8","nord","Riedberg","0b00011111",14,12,27,42,57,,,,
"U8","nord","Riedberg","0b00011111",15,12,27,42,57,,,,
"U8","nord","Riedberg","0b00011111",16,14,29,44,59,,,,
"U8","nord","Riedberg","0b00011111",17,14,29,44,59,,,,
"U8","nord","Riedberg","0b00011111",18,14,29,44,59,,,,
"U8","nord","Riedberg","0b00011111",19,14,29,44,59,,,,
"U8","nord","Riedberg","0b00011111",20,14,29,44,59,,,,
"U8","nord","Riedberg","0b00011111",21,22,37,52,,,,,
"U8","nord","Riedberg","0b00011111",22,7,22,37,52,,,,
